zonas,enderecos,precos,area,quarto
norte,"Rua Atílio Piffer, Casa Verde, São Paulo Zona Norte, São Paulo",2500,94.0,3.0
norte,"Sítio Do Morro, São Paulo Zona Norte, São Paulo",1300,55.0,2.0
sul,"Rua Peixoto Gomide, 1491, Jardim Paulista, São Paulo Zona Sul, São Paulo",6000,110.0,3.0
sul,"Rua João De Lacerda Soares, 133, Jardim Das Acácias, São Paulo Zona Sul, São Paulo",2200,70.0,1.0
sul,"Jardim Paulista, São Paulo Zona Sul, São Paulo",5100,53.0,1.0
sul,"Vila Independência, São Paulo Zona Sul, São Paulo",2100,60.0,2.0
sul,"Jardim Paulista, São Paulo Zona Sul, São Paulo",2900,40.0,1.0
sul,"Jardim Paulista, São Paulo Zona Sul, São Paulo",2800,45.0,1.0
sul,"Rua Maria José Da Conceição, Vila Andrade, São Paulo Zona Sul, São Paulo",1950,58.0,2.0
sul,"Itaim Bibi, São Paulo Zona Sul, São Paulo",13000,215.0,5.0
sul,"Rua Zike Tuma, 744 - Jardim Ubirajara, São Paulo - Sp, Brasil, Jardim São Jorge, São Paulo Zona Sul, São Paulo",1000,50.0,2.0
sul,"R. Do Manifesto, 1558, Ipiranga, São Paulo Zona Sul, São Paulo",1399,59.0,1.0
sul,"Rua Cândida Medeiros Da Silva, 92, Jardim Patente Novo, São Paulo Zona Sul, São Paulo",1300,62.0,2.0
sul,"Rua Bom Pastor, 1426, Ipiranga, São Paulo Zona Sul, São Paulo",1550,78.0,2.0
sul,"Rua Bom Pastor, 1426, Ipiranga, São Paulo Zona Sul, São Paulo",1750,83.0,2.0
sul,"Avenida Fagundes Filho, 744, Vila Monte Alegre, São Paulo Zona Sul, São Paulo",3300,74.0,3.0
sul,"Rua Bom Pastor, 1557, Ipiranga, São Paulo Zona Sul, São Paulo",2100,33.0,1.0
sul,"Rua Jean De La Huerta, 1013, Vila Brasilina, São Paulo Zona Sul, São Paulo",1600,160.0,2.0
sul,"R. Eduardo Carlos Pereira, 391, Vila Dom Pedro I, São Paulo Zona Sul, São Paulo",1699,70.0,2.0
sul,"Rua Lino Coutinho, 0836, Ipiranga, São Paulo Zona Sul, São Paulo",1299,60.0,1.0
sul,"Rua Malvina Ferrara Samarone, 100, Vila Moinho Velho, São Paulo Zona Sul, São Paulo",2000,45.0,1.0
sul,"R. Alencar Araripe, 74, Sacomã, São Paulo Zona Sul, São Paulo",1300,39.0,2.0
sul,"Vila Olímpia - São Paulo/sp, Vila Olímpia, São Paulo Zona Sul, São Paulo",2300,45.0,
sul,"Rua Mil Oitocentos E Vinte E Dois, 895, Ipiranga, São Paulo Zona Sul, São Paulo",3400,63.0,2.0
sul,"Rua Doutor Gentil Leite Martins, 152, Vila Nova Caledônia, São Paulo Zona Sul, São Paulo",2100,63.0,2.0
sul,"Rua Lino Coutinho, 0237, Ipiranga, São Paulo Zona Sul, São Paulo",2200,87.0,2.0
sul,"Rua Marquês De Olinda, 464, Vila Dom Pedro I, São Paulo Zona Sul, São Paulo",2000,70.0,2.0
sul,"R. Dr. Nicolau Alberto Defina - Jardim Da Saúde, São Paulo - Sp, Brasil, Jardim Saúde, São Paulo Zona Sul, São Paulo",1350,70.0,2.0
sul,"Rua José Quaresma Júnior, 675 - Parque Grajau, São Paulo - Sp, Brasil, Parque Grajaú, São Paulo Zona Sul, São Paulo",750,35.0,1.0
sul,"Jardim Paulista, São Paulo Zona Sul, São Paulo",4000,190.0,3.0
sul,"Vila Do Encontro, São Paulo Zona Sul, São Paulo",1300,60.0,2.0
sul,"Avenida Do Cursino, 5781 - Vila Moraes, São Paulo - Sp, Brasil, Sacomã, São Paulo Zona Sul, São Paulo",1500,45.0,2.0
sul,"Vila Mariana, São Paulo Zona Sul, São Paulo",4500,139.0,4.0
sul,"Rua Doutor Fadlo Haidar, 165, Vila Olímpia, São Paulo Zona Sul, São Paulo",6500,110.0,3.0
